step,time,uav0_x,uav0_y,uav0_yaw,uav0_state,uav0_min_obs_dist,uav0_path_length,uav1_x,uav1_y,uav1_yaw,uav1_state,uav1_min_obs_dist,uav1_path_length,uav2_x,uav2_y,uav2_yaw,uav2_state,uav2_min_obs_dist,uav2_path_length,coverage,min_inter_uav_dist,replan_count,collision_flag
48,9.600000000000001,8.04,21.46,2.341,explore,11.49,0.0,17.74,55.78,-0.799,explore,16.22,0.0,13.13,81.39,1.249,explore,5.67,0.0,0.2028,20.19,35,0
49,9.8,7.69,21.94,2.192,explore,10.95,0.0,18.16,55.35,-0.799,explore,15.65,0.0,13.73,81.34,-0.084,explore,5.95,0.0,0.2054,19.63,35,0
50,10.0,7.72,22.54,1.522,explore,10.95,0.0,18.76,55.31,-0.060,explore,15.65,0.0,14.32,81.29,-0.084,explore,5.95,0.0,0.2084,19.63,35,0
51,10.200000000000001,7.74,23.14,1.522,explore,11.01,0.0,19.35,55.27,-0.060,explore,15.27,0.0,14.92,81.27,-0.019,explore,5.44,0.0,0.2084,20.49,35,0
52,10.4,7.75,23.74,1.568,explore,11.09,0.0,19.95,55.27,-0.013,explore,14.91,0.0,15.52,81.26,-0.019,explore,4.93,0.0,0.2150,21.35,35,0
53,10.600000000000001,7.75,24.34,1.568,explore,11.20,0.0,20.55,55.26,-0.013,explore,14.57,0.0,16.12,81.25,-0.019,explore,4.46,0.0,0.2172,22.19,35,0
54,10.8,8.12,24.81,0.904,explore,11.53,0.0,21.15,55.25,-0.013,explore,14.57,0.0,16.72,81.25,-0.001,explore,3.92,0.0,0.2193,22.62,35,0
55,11.0,8.49,25.28,0.904,explore,11.87,0.0,21.73,55.43,0.303,explore,14.20,0.0,17.32,81.25,-0.001,explore,3.40,0.0,0.2203,23.54,35,0
56,11.200000000000001,8.86,25.76,0.904,explore,12.23,0.0,22.30,55.61,0.303,explore,13.85,0.0,17.74,81.69,0.810,explore,2.88,0.0,0.2220,24.47,35,0
57,11.4,9.23,26.23,0.904,explore,12.23,0.0,22.76,56.00,0.699,explore,13.51,0.0,18.15,82.12,0.810,explore,2.31,0.0,0.2239,25.50,35,0
58,11.600000000000001,9.83,26.24,0.015,explore,12.53,0.0,23.05,55.47,-1.054,explore,13.19,0.0,18.56,82.55,0.810,explore,1.75,0.0,0.2251,26.52,35,0
59,11.8,10.43,26.25,0.015,explore,12.53,0.0,23.35,54.95,-1.054,explore,13.19,0.0,18.99,82.98,0.788,explore,1.75,0.0,0.2271,26.52,35,0
60,12.0,11.03,26.25,0.003,explore,12.53,0.0,23.65,54.43,-1.054,explore,13.19,0.0,19.41,83.41,0.788,explore,1.75,0.0,0.2271,26.52,35,0
61,12.200000000000001,11.63,26.25,0.003,explore,12.47,0.0,23.85,53.87,-1.227,explore,12.62,0.0,19.83,83.83,0.788,explore,1.87,0.0,0.2271,26.51,35,0
62,12.4,12.23,26.25,0.003,explore,12.43,0.0,24.05,53.30,-1.227,explore,12.04,0.0,20.25,84.25,0.788,explore,2.05,0.0,0.2347,26.49,35,0
63,12.600000000000001,12.83,26.25,0.000,explore,12.43,0.0,24.25,52.75,-1.227,explore,11.46,0.0,20.67,84.67,0.785,explore,2.05,0.0,0.2379,26.62,35,0
64,12.8,13.43,26.25,0.000,explore,12.47,0.0,24.67,52.33,-0.785,explore,10.89,0.0,21.10,85.10,0.785,explore,2.25,0.0,0.2398,26.62,35,0
65,13.0,14.03,26.25,0.000,explore,12.47,0.0,25.10,51.90,-0.785,explore,10.31,0.0,21.69,84.97,-0.208,explore,2.51,0.0,0.2429,26.61,35,0
66,13.200000000000001,14.63,26.25,0.000,explore,12.14,0.0,25.52,51.48,-0.785,explore,9.71,0.0,22.27,84.85,-0.208,explore,2.82,0.0,0.2449,26.42,35,0
67,13.4,15.23,26.25,0.000,explore,11.83,0.0,26.12,51.40,-0.131,explore,9.11,0.0,22.80,84.56,-0.508,explore,3.16,0.0,0.2501,26.24,35,0
68,13.600000000000001,15.83,26.25,0.000,explore,11.54,0.0,26.71,51.32,-0.131,explore,9.11,0.0,23.32,84.27,-0.508,explore,3.54,0.0,0.2533,26.12,35,0
69,13.8,16.43,26.25,0.000,explore,11.27,0.0,27.25,51.25,-0.131,explore,8.57,0.0,23.85,83.98,-0.508,explore,3.54,0.0,0.2559,25.83,35,0
70,14.0,17.03,26.25,0.000,explore,11.27,0.0,27.85,51.25,0.000,explore,8.57,0.0,24.29,83.57,-0.736,explore,3.54,0.0,0.2585,25.83,35,0
71,14.200000000000001,17.63,26.25,0.000,explore,10.69,0.0,28.45,51.25,0.000,explore,8.43,0.0,24.73,83.17,-0.736,explore,3.51,0.0,0.2585,26.75,35,0
72,14.4,18.07,26.66,0.748,explore,10.11,0.0,29.05,51.25,0.000,explore,8.32,0.0,25.22,83.52,0.619,explore,3.53,0.0,0.2640,27.66,35,0
73,14.600000000000001,18.51,27.07,0.748,explore,9.52,0.0,29.65,51.25,0.000,explore,8.24,0.0,25.71,83.87,0.619,explore,3.60,0.0,0.2667,28.58,35,0
74,14.8,18.95,27.47,0.748,explore,8.94,0.0,30.25,51.25,0.000,explore,8.30,0.0,26.20,84.21,0.619,explore,3.74,0.0,0.2695,29.52,35,0
75,15.0,19.54,27.37,-0.171,explore,8.36,0.0,30.75,50.92,-0.588,explore,8.40,0.0,26.63,84.64,0.781,explore,3.93,0.0,0.2724,29.52,35,0
76,15.200000000000001,20.13,27.27,-0.171,explore,7.79,0.0,31.22,50.55,-0.661,explore,8.14,0.0,27.05,85.06,0.781,explore,4.16,0.0,0.2752,28.85,35,0
77,15.4,20.73,27.26,-0.012,explore,7.22,0.0,31.70,50.18,-0.661,explore,7.70,0.0,27.48,85.48,0.781,explore,4.42,0.0,0.2780,28.40,35,0
78,15.600000000000001,21.33,27.26,-0.012,explore,6.64,0.0,32.17,49.81,-0.661,explore,7.27,0.0,27.97,85.83,0.622,explore,4.73,0.0,0.2811,27.94,35,0
79,15.8,21.92,27.41,0.253,explore,6.08,0.0,32.74,49.61,-0.342,explore,6.86,0.0,28.45,86.18,0.622,explore,5.07,0.0,0.2839,27.48,35,0
80,16.0,22.50,27.56,0.253,explore,6.08,0.0,33.30,49.41,-0.342,explore,6.86,0.0,28.94,86.53,0.622,explore,5.07,0.0,0.2866,27.48,35,0
81,16.2,23.08,27.71,0.253,explore,5.52,0.0,33.89,49.51,0.173,explore,6.27,0.0,29.46,86.22,-0.538,explore,5.67,0.0,0.2866,27.40,35,0
82,16.400000000000002,23.52,28.11,0.746,explore,4.96,0.0,33.34,49.29,-2.753,explore,5.68,0.0,29.97,85.92,-0.538,explore,6.26,0.0,0.2920,27.33,35,0
